2024_RANK,2023_RANK,Institution_Name,Location,Location.1,SIZE,FOCUS,RES.,STATUS,AR_SCORE,AR_RANK,ER_SCORE,ER_RANK,FS_SCORE,FS_RANK,CF_SCORE,CF_RANK,IF_SCORE,IF_RANK,IS_SCORE,IS_RANK,IRN_SCORE,IRN_RANK,EO_SCORE,EO_RANK,S_Score,S_Rank,OVERALL_SCORE,2023_RANK_ORIGINAL,2024_RANK_ORIGINAL,Is_Rank_Range
1.0,1.0,Massachusetts Institute of Technology (MIT) ,US,United States,M,CO,VH,B,100,4,100,2,100,16,100,4,100,56,88.2,128,94.3,58,100,4,95.2,51,100,1.0,1.0,False
2.0,2.0,University of Cambridge,UK,United Kingdom,L,FC,VH,A,100,3,100,4,100,14,92.3,68,100,64,95.8,85,99.9,7,100,6,97.3,33=,99.2,2.0,2.0,False
3.0,4.0,University of Oxford,UK,United Kingdom,L,FC,VH,A,100,2,100,5,100,8,90.6,73,98.2,110,98.2,60,100,1,100,3,97.8,26=,98.9,4.0,3.0,False
4.0,5.0,Harvard University,US,United States,L,FC,VH,B,100,1,100,1,98.3,44,100,1,84.6,210,66.8,223,100,5,100,1,96.7,39,98.3,5.0,4.0,False
5.0,3.0,Stanford University,US,United States,L,FC,VH,B,100,5,100,3,100,11,99.9,8,99.9,78,51.2,284,95.8,44,100,2,94.4,63,98.1,3.0,5.0,False
6.0,6.0,Imperial College London,UK,United Kingdom,L,FC,VH,A,98.3,23,99.4,12,98.5,42,94,58,100,61,100,14,96.7,35,83,45,94.4,61=,97.8,6.0,6.0,False
7.0,9.0,ETH Zurich - Swiss Federal Institute of Technology,CH,Switzerland,L,FO,VH,A,98.8,19,83.6,62,72.1,177,98.9,21,100,22,98.5,56,96,42,79.1,52,88.4,103=,93.3,9.0,7.0,False
8.0,11.0,National University of Singapore (NUS),SG,Singapore,XL,FC,VH,A,99.4,15,88.6,54,76.5,157,93.2,64,100,33,81.9,154,76.3,165,100,7,88.1,106=,92.7,11.0,8.0,False
9.0,8.0,UCL,UK,United Kingdom,XL,FC,VH,A,99.5,13,97.9,22,98.4,43,74.3,131,99.1,96,100,15,100,2,51.6,126,92.5,74,92.4,8.0,9.0,False
10.0,27.0,"University of California, Berkeley (UCB)",US,United States,XL,FC,VH,A,100,6,100,6,20.5,656,99.9,7,92.2,172,63.9,235,92.4,66,98.7,15,100,1,90.4,27.0,10.0,False
11.0,10.0,University of Chicago,US,United States,L,FC,VH,B,99.1,17,95.4,38,92.5,72,78.5,122,81.2,225,84.4,145,61.4,236,98.3,17,81.7,137=,90.3,10.0,11.0,False
12.0,13.0,University of Pennsylvania,US,United States,L,FC,VH,B,96.4,29,89.1,52,99.9,24,68.4,153,96,140,70.3,208,83.3,129,100,5,99.9,3=,89.4,13.0,12.0,False
13.0,20.0,Cornell University,US,United States,L,FC,VH,B,98.1,26,90.5,47,52.9,297,99.1,18,68.7,283,64,234,79.9,144,98,18,94.7,58=,89.3,20.0,13.0,False
